booking_id,passenger_id,flight_id,booking_date,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,booking_status
B1000,P1591,AI192,2025-06-14 11:37:36.951,****5887,3D,I***,******5128,CANCELLED
B1001,P1803,6F026,2025-11-02 11:37:36.951,****2012,18A,A***,******8662,CANCELLED
B1002,P1083,SJ010,2025-08-25 11:37:36.951,****7659,30C,U***,******8220,CANCELLED
B1003,P1364,AI069,2025-12-30 11:37:36.951,****1776,33A,H***,******6839,CONFIRMED
B1004,P1885,UK003,2025-10-02 11:37:36.951,****2231,25C,P***,******8266,PENDING
B1005,P1548,AI048,2025-08-31 11:37:36.951,****2369,13D,A***,******2726,CONFIRMED
B1006,P1341,AI140,2025-06-29 11:37:36.951,****0120,17F,T***,******7864,CANCELLED
B1007,P1838,UK167,2026-03-12 11:37:36.951,****7117,22E,Y***,******5776,CONFIRMED
B1008,P1406,AI245,2025-09-07 11:37:36.951,****5582,34F,R***,******8807,PENDING
B1009,P1424,SJ158,2025-04-28 11:37:36.951,****6745,33C,T***,******6278,CANCELLED
B1010,P1743,AI155,2025-11-24 11:37:36.951,****4128,15B,A***,******9414,CONFIRMED
B1011,P1092,AI179,2025-10-25 11:37:36.951,****5666,22C,N***,******6153,CONFIRMED
B1012,P1847,AI137,2025-08-15 11:37:36.951,****5066,28B,H***,******6860,PENDING
B1013,P1613,SJ001,2025-07-20 11:37:36.951,****4377,26E,N***,******6561,CONFIRMED
B1014,P1411,SJ172,2025-09-15 11:37:36.951,****9252,21E,G***,******9979,PENDING
B1015,P1431,UK094,2025-10-21 11:37:36.951,****2867,6F,G***,******5012,UNKNOWN
B1016,P1677,UK027,2026-01-13 11:37:36.951,****2455,6A,G***,******0204,CANCELLED
B1017,P1158,UK067,2026-04-04 11:37:36.951,****1090,13B,H***,******8257,CONFIRMED
B1018,P1013,6F196,2026-03-25 11:37:36.951,****4981,19B,C***,******0106,CANCELLED
B1019,P1372,6F164,2025-07-31 11:37:36.951,****1793,19A,J***,******0835,CANCELLED
B1020,P1224,SJ112,2025-12-06 11:37:36.951,****8446,27B,F***,******6249,CONFIRMED
B1021,P1504,6F190,2025-12-07 11:37:36.951,****2201,4E,J***,******0161,CANCELLED
B1022,P1072,AI080,2026-03-25 11:37:36.951,****1455,16F,E***,******7221,CONFIRMED
B1023,P1248,6F213,2026-02-03 11:37:36.951,****4370,24B,V***,******9325,PENDING
B1024,P1510,AI115,2025-06-21 11:37:36.951,****4627,30F,F***,******8072,PENDING
B1025,P1602,SJ049,2026-03-18 11:37:36.951,****6592,1B,H***,******2966,PENDING
B1026,P1215,AI058,2025-06-27 11:37:36.951,****0238,32C,A***,******6345,CONFIRMED
B1027,P1972,UK036,2025-07-25 11:37:36.951,****5595,22A,J***,******0795,CONFIRMED
B1028,P1601,SJ239,2025-05-25 11:37:36.951,****5848,26E,K***,******0757,CANCELLED
B1029,P1540,6F025,2025-06-06 11:37:36.951,****4870,19C,S***,******4016,CANCELLED
B1030,P1946,6F236,2026-03-18 11:37:36.951,****7993,21E,E***,******1429,CANCELLED
B1031,P1816,AI060,2025-11-16 11:37:36.951,****9464,1E,Y***,******3949,CANCELLED
B1032,P1938,UK021,2025-09-03 11:37:36.951,****0601,18E,T***,******8599,CANCELLED
B1033,P1987,UK026,2025-05-06 11:37:36.951,****7938,19A,A***,******4041,UNKNOWN
B1034,P1219,SJ179,2025-12-31 11:37:36.951,****3061,22F,E***,******0606,CONFIRMED
B1035,P1839,6F251,2025-08-21 11:37:36.951,****2446,11D,V***,******1517,PENDING
B1036,P1726,SJ149,2025-11-24 11:37:36.951,****4881,5B,D***,******3647,PENDING
B1037,P1220,AI188,2026-03-20 11:37:36.951,****1751,33E,A***,******5418,PENDING
B1038,P1388,SJ093,2026-01-01 11:37:36.951,****1515,12D,S***,******6192,PENDING
B1039,P1553,SJ205,2025-08-21 11:37:36.951,****1225,11E,S***,******9854,CONFIRMED
B1040,P1646,6F099,2025-08-08 11:37:36.951,****6618,26B,M***,******5230,CONFIRMED
B1041,P1041,UK176,2025-05-28 11:37:36.951,****3787,25C,L***,******6035,CONFIRMED
B1042,P1675,UK200,2025-12-02 11:37:36.951,****0950,24F,L***,******5890,CANCELLED
B1043,P1872,6F195,2025-11-22 11:37:36.951,****2198,8E,A***,******1388,CANCELLED
B1044,P1282,6F174,2026-04-12 11:37:36.951,****1905,16C,M***,******0954,PENDING
B1045,P1057,SJ214,2026-03-19 11:37:36.951,****2462,18C,T***,******3432,UNKNOWN
B1046,P1813,UK059,2025-10-14 11:37:36.951,****4460,2C,Y***,******1874,CONFIRMED
B1047,P1833,6F151,2025-12-29 11:37:36.951,****9151,7C,G***,******4608,PENDING
B1048,P1536,SJ236,2025-09-19 11:37:36.951,****9130,18C,I***,******4278,PENDING
B1049,P1072,SJ153,2025-07-28 11:37:36.951,****8416,3C,N***,******3067,UNKNOWN
B1050,P1884,AI220,2026-01-15 11:37:36.951,****1190,7D,D***,******4482,PENDING
B1051,P1922,6F028,2025-07-05 11:37:36.951,****4298,16A,L***,******6443,CANCELLED
B1052,P1128,UK209,2025-12-30 11:37:36.951,****7322,33B,Z***,******6326,CANCELLED
B1053,P1598,UK216,2026-04-01 11:37:36.951,****7830,28B,I***,******5009,PENDING
B1054,P1841,AI132,2026-04-11 11:37:36.951,****6969,19C,A***,******8191,CANCELLED
B1055,P1425,6F012,2025-10-14 11:37:36.951,****7016,13F,I***,******7684,CANCELLED
B1056,P1947,UK173,2026-03-24 11:37:36.951,****1320,15B,R***,******6381,CANCELLED
B1057,P1664,SJ047,2025-08-20 11:37:36.951,****4190,14F,S***,******4263,CANCELLED
B1058,P1693,SJ043,2025-12-07 11:37:36.951,****3722,8C,A***,******4081,PENDING
B1059,P1124,UK140,2026-01-03 11:37:36.951,****3236,23B,P***,******0433,CONFIRMED
B1060,P1066,6F086,2025-12-30 11:37:36.951,****4067,11A,H***,******7113,CONFIRMED
B1061,P1005,6F114,2026-04-05 11:37:36.951,****6142,19C,Y***,******7530,CANCELLED
B1062,P1636,UK153,2025-06-12 11:37:36.951,****9754,15D,M***,******7050,CANCELLED
B1063,P1313,6F149,2025-05-19 11:37:36.951,****2737,9A,N***,******0081,CANCELLED
B1064,P1325,UK145,2025-09-14 11:37:36.951,****8214,24E,A***,******2918,CONFIRMED
B1065,P1564,UK010,2026-03-06 11:37:36.951,****6019,7B,V***,******8991,CANCELLED
B1066,P1577,SJ003,2025-11-05 11:37:36.951,****8278,1B,I***,******8025,PENDING
B1067,P1825,SJ160,2025-07-23 11:37:36.951,****0732,7F,D***,******9825,PENDING
B1068,P1505,UK224,2025-11-22 11:37:36.951,****3699,23A,D***,******9882,PENDING
B1069,P1081,UK152,2025-08-02 11:37:36.951,****0557,16E,F***,******6369,CONFIRMED
B1070,P1598,SJ034,2025-09-22 11:37:36.951,****1192,15D,V***,******3428,CANCELLED
B1071,P1001,UK215,2025-12-21 11:37:36.951,****1872,15F,J***,******0870,CANCELLED
B1072,P1203,UK089,2025-08-10 11:37:36.951,****0961,18F,V***,******2708,CANCELLED
B1073,P1661,6F180,2025-12-04 11:37:36.951,****1149,16A,A***,******4571,CONFIRMED
B1074,P1804,6F188,2025-09-25 11:37:36.951,****7365,7A,P***,******6104,CONFIRMED
B1075,P1403,UK131,2026-01-03 11:37:36.951,****5782,2F,S***,******7796,CONFIRMED
B1076,P1102,UK055,2025-05-04 11:37:36.951,****2230,12B,M***,******9350,CONFIRMED
B1077,P1535,UK181,2025-05-03 11:37:36.951,****7392,3A,R***,******9292,PENDING
B1078,P1367,6F077,2025-09-21 11:37:36.951,****1276,1B,S***,******0016,CONFIRMED
B1079,P1211,SJ085,2025-06-03 11:37:36.951,****1231,10D,Y***,******8019,CONFIRMED
B1080,P1576,SJ023,2025-06-05 11:37:36.951,****8899,22D,D***,******0958,CONFIRMED
B1081,P1960,SJ202,2025-11-13 11:37:36.951,****7629,29C,A***,******8400,CANCELLED
B1082,P1208,SJ150,2025-09-09 11:37:36.951,****6468,30A,T***,******4669,CANCELLED
B1083,P1762,SJ116,2025-05-12 11:37:36.951,****1876,9A,E***,******4087,CANCELLED
B1084,P1896,6F270,2025-06-14 11:37:36.951,****8981,16E,V***,******8688,PENDING
B1085,P1116,UK150,2026-03-24 11:37:36.951,****4582,12A,A***,******9329,PENDING
B1086,P1627,SJ237,2026-02-16 11:37:36.951,****8297,5D,E***,******3483,CONFIRMED
B1087,P1748,AI221,2025-05-08 11:37:36.951,****5000,2F,W***,******8674,CANCELLED
B1088,P1477,SJ081,2026-03-25 11:37:36.951,****9113,31A,V***,******7433,PENDING
B1089,P1104,UK189,2025-09-03 11:37:36.951,****0255,25F,K***,******1422,CANCELLED
B1090,P1494,SJ068,2025-05-16 11:37:36.951,****2182,31C,X***,******1775,PENDING
B1091,P1770,6F043,2025-08-18 11:37:36.951,****8905,25D,N***,******1387,PENDING
B1092,P1045,UK187,2026-03-18 11:37:36.951,****9004,16D,G***,******6973,CONFIRMED
B1093,P1822,UK074,2025-05-11 11:37:36.951,****4826,25E,R***,******0231,CONFIRMED
B1094,P1330,UK004,2026-01-07 11:37:36.951,****3550,24C,P***,******7557,PENDING
B1095,P1215,6F194,2025-07-30 11:37:36.951,****0706,14B,U***,******2655,CONFIRMED
B1096,P1981,UK068,2026-01-03 11:37:36.951,****5098,12B,G***,******8767,PENDING
B1097,P1959,6F017,2025-08-26 11:37:36.951,****4818,34F,N***,******9257,UNKNOWN
B1098,P1491,6F245,2025-10-15 11:37:36.951,****7738,13D,I***,******0675,UNKNOWN
B1099,P1812,6F254,2025-12-07 11:37:36.951,****3212,26E,R***,******5408,CONFIRMED
B1100,P1921,UK077,2026-03-05 11:37:36.951,****6420,16D,S***,******2423,CONFIRMED
B1101,P1844,AI029,2025-07-19 11:37:36.951,****4417,3D,P***,******0041,CONFIRMED
B1102,P1448,SJ196,2025-10-06 11:37:36.951,****4026,15F,A***,******7824,UNKNOWN
B1103,P1535,AI242,2025-08-08 11:37:36.951,****0176,20D,Z***,******0195,CANCELLED
B1104,P1510,AI242,2025-09-12 11:37:36.951,****0315,16E,S***,******1992,CANCELLED
B1105,P1457,SJ044,2025-09-11 11:37:36.951,****9050,19F,C***,******2865,CONFIRMED
B1106,P1546,UK063,2025-09-01 11:37:36.951,****5384,21F,A***,******7368,CONFIRMED
B1107,P1535,AI056,2025-05-19 11:37:36.951,****1978,30F,W***,******1339,CONFIRMED
B1108,P1539,UK207,2025-10-11 11:37:36.951,****9137,14B,N***,******0049,CANCELLED
B1109,P1483,UK166,2025-12-03 11:37:36.951,****0119,33D,V***,******1363,CANCELLED
B1110,P1975,6F261,2025-12-17 11:37:36.951,****8800,12B,N***,******8743,PENDING
B1111,P1999,UK134,2025-12-25 11:37:36.951,****6182,34A,N***,******0327,CANCELLED
B1112,P1015,6F152,2025-10-02 11:37:36.951,****4491,27A,A***,******0611,PENDING
B1113,P1570,SJ089,2025-11-23 11:37:36.951,****0149,5A,A***,******3389,CONFIRMED
B1114,P1976,6F123,2025-09-26 11:37:36.951,****6875,2E,B***,******8435,CANCELLED
B1115,P1242,AI025,2025-08-23 11:37:36.951,****3998,10A,V***,******1024,CONFIRMED
B1116,P1949,6F030,2025-12-05 11:37:36.951,****1140,19B,R***,******1177,CONFIRMED
B1117,P1206,SJ222,2025-09-02 11:37:36.951,****3766,28F,T***,******6273,CONFIRMED
B1118,P1911,UK109,2026-04-03 11:37:36.951,****0030,34B,D***,******2542,CONFIRMED
B1119,P1270,SJ117,2025-11-25 11:37:36.951,****6271,21F,D***,******5920,CANCELLED
B1120,P1760,SJ142,2025-08-12 11:37:36.951,****5068,12D,V***,******9377,CONFIRMED
B1121,P1993,SJ142,2025-06-01 11:37:36.951,****2938,17C,N***,******9980,PENDING
B1122,P1778,AI030,2025-05-02 11:37:36.951,****8735,20B,Y***,******0459,CANCELLED
B1123,P1704,6F097,2025-09-23 11:37:36.951,****0335,8A,Q***,******3440,CONFIRMED
B1124,P1846,6F129,2025-05-23 11:37:36.951,****0859,5C,E***,******1753,CANCELLED
B1125,P1729,6F181,2026-01-15 11:37:36.951,****9269,27E,N***,******5564,PENDING
B1126,P1114,AI072,2025-10-20 11:37:36.951,****7184,10E,Y***,******6718,CONFIRMED
B1127,P1579,SJ154,2025-06-29 11:37:36.951,****5914,2E,F***,******6141,PENDING
B1128,P1298,AI031,2026-04-08 11:37:36.951,****1234,10D,D***,******9264,CONFIRMED
B1129,P1836,AI031,2025-09-18 11:37:36.951,****0872,26F,S***,******4894,PENDING
B1130,P1482,6F158,2025-12-26 11:37:36.951,****3483,34E,W***,******1553,CONFIRMED
B1131,P1396,6F184,2025-06-16 11:37:36.951,****2804,1C,M***,******6703,CANCELLED
B1132,P1393,UK141,2025-06-20 11:37:36.951,****6508,10D,C***,******2875,CONFIRMED
B1133,P1074,6F168,2025-12-29 11:37:36.951,****8696,23D,D***,******2496,CANCELLED
B1134,P1977,6F051,2025-07-28 11:37:36.951,****6123,34C,A***,******9254,CONFIRMED
B1135,P1481,6F047,2025-12-02 11:37:36.951,****6823,20E,H***,******6706,CONFIRMED
B1136,P1102,UK156,2025-10-26 11:37:36.951,****3008,28E,T***,******2968,PENDING
B1137,P1296,AI094,2025-09-01 11:37:36.951,****8311,13E,A***,******1393,PENDING
B1138,P1177,AI038,2025-07-14 11:37:36.951,****8094,6C,I***,******1934,PENDING
B1139,P1214,6F255,2026-01-19 11:37:36.951,****2839,29F,Y***,******2157,CONFIRMED
B1140,P1966,SJ025,2026-01-23 11:37:36.951,****4407,29D,B***,******1700,CONFIRMED
B1141,P1314,SJ185,2025-10-28 11:37:36.951,****6629,9C,R***,******5455,CONFIRMED
B1142,P1038,6F259,2026-01-21 11:37:36.951,****0299,5C,A***,******4971,CANCELLED
B1143,P1258,6F073,2026-04-07 11:37:36.951,****3337,15A,H***,******9840,CANCELLED
B1144,P1715,AI091,2025-09-26 11:37:36.951,****6178,6D,A***,******7996,CONFIRMED
B1145,P1006,6F191,2025-08-23 11:37:36.951,****2061,15D,H***,******6715,PENDING
B1146,P1048,UK228,2025-08-30 11:37:36.951,****7895,25A,A***,******8150,PENDING
B1147,P1537,6F146,2026-03-25 11:37:36.951,****4490,11E,S***,******9430,PENDING
B1148,P1160,6F068,2025-10-13 11:37:36.951,****0164,19A,S***,******0672,CONFIRMED
B1149,P1868,SJ218,2026-01-08 11:37:36.951,****7812,30F,Y***,******2528,PENDING
B1150,P1175,UK083,2025-09-25 11:37:36.951,****0217,12A,Z***,******2234,CONFIRMED
B1151,P1590,SJ007,2026-01-18 11:37:36.951,****8579,29B,G***,******9085,CANCELLED
B1152,P1001,AI077,2025-08-14 11:37:36.951,****8285,27A,A***,******8402,PENDING
B1153,P1894,UK017,2025-12-20 11:37:36.951,****9866,8D,A***,******9050,CANCELLED
B1154,P1454,6F229,2026-02-17 11:37:36.951,****6820,24A,K***,******7005,PENDING
B1155,P1927,6F074,2025-10-08 11:37:36.951,****3552,6D,N***,******5900,CONFIRMED
B1156,P1643,SJ088,2026-03-25 11:37:36.951,****4692,5E,P***,******8235,CONFIRMED
B1157,P1275,SJ167,2025-06-28 11:37:36.951,****6790,18B,I***,******0380,CONFIRMED
B1158,P1497,6F234,2025-07-20 11:37:36.951,****0220,22A,M***,******3787,CONFIRMED
B1159,P1628,UK071,2025-12-10 11:37:36.951,****8424,22F,K***,******1686,PENDING
B1160,P1675,AI178,2025-11-21 11:37:36.951,****8870,29A,Q***,******5204,CANCELLED
B1161,P1799,UK104,2025-11-14 11:37:36.951,****6738,12A,B***,******1674,CONFIRMED
B1162,P1027,AI146,2025-04-22 11:37:36.951,****7798,32D,J***,******9690,UNKNOWN
B1163,P1332,SJ235,2025-11-10 11:37:36.951,****2258,13D,I***,******2987,CANCELLED
B1164,P1000,6F209,2025-04-24 11:37:36.951,****0623,24A,Z***,******2471,CONFIRMED
B1165,P1187,AI129,2025-08-20 11:37:36.951,****5790,2F,I***,******2367,CANCELLED
